n=39,val=0x00000000c0000000,sol=0xce61141b9e798093
n=43,val=0x00000000c0160000,sol=0xf85359d6d65f565e
n=44,val=0x00000000c37c0000,sol=0xd74b190ad3f82f49
n=47,val=0x00000000ce160000,sol=0x8d3f5cbd780d0941
n=48,val=0x00000000e2ae0000,sol=0x82145145080984ec
n=55,val=0x00000000fbb375bf,sol=0x490c475cbd33b3a7
n=55,val=0x00000000f3b5b4da,sol=0x98d53432429ca9f7
n=55,val=0x00000000f88545c0,sol=0x81c2d8327f2b25e5
n=55,val=0x00000000e2affaa5,sol=0x4de33797e92a7a9b
n=55,val=0x00000000d0e75523,sol=0xa95f0b8b3da46c56
n=55,val=0x00000000ec920c7f,sol=0xf608e8323a81d181
n=55,val=0x00000000dc37360d,sol=0xcc76ef7e42e7bfb4
n=55,val=0x00000000ce6c2270,sol=0x0503785353167651
n=55,val=0x00000000e35c6478,sol=0xb6a555b858d03928
n=55,val=0x00000000e1cfcf6a,sol=0x6a80d593c6b985a7
n=60,val=0x000014df81c3082f,sol=0xd2cfdef551ae24cc
